eccentricity	inclination	objectname	semimajor_axis
0.281258	33.1988685939	2	2.7709176
0.233506	13.251519198	3	2.6693661
0.098758	6.39234160448	4	2.3615126
0.1980486	4.51186275903	5	2.5761849
0.1356315	5.10390603856	10	3.1417827
0.1485956	13.0997407252	15	2.643666
0.1618339	1.42083457996	20	2.4086388
0.1527786	1.08454782068	24	3.1345042
0.228119	23.4137859327	25	2.4001541
0.2076977	26.5431134843	31	3.1550838
0.1498068	1.29161929022	62	3.1216896
0.1206297	6.21579996104	63	2.3951621
0.1513505	12.6340279719	85	2.6536814
0.0536765	9.84823419654	87	3.4852852
0.1538194	1.32602865404	90	3.1461917
0.1426385	8.88888930598	93	2.7546651
0.184431	16.542004787	96	3.052077
0.1496976	5.22403870272	100	3.0945594
0.1443809	2.40896014082	104	3.1480171
0.1052463	4.78449637703	108	3.2209612
0.0498276	5.25614967805	110	2.7328599
0.1740578	2.66917824525	135	2.4285098
0.1576358	3.21562009956	142	2.4184399
0.1693148	11.6935699343	145	2.6726813
0.1320793	25.1572401201	148	2.7713162
0.0452243	2.15137760567	158	2.868775
0.1165605	5.13429661587	159	3.1044875
0.209589	4.80088296951	163	2.3671185
0.1761026	11.5417834482	166	2.6857459
0.0429128	2.12610401999	167	2.8535393
0.1012254	15.0880715174	170	2.553705
0.1530767	1.3402418546	171	3.1361314
0.1733611	13.4815537848	173	2.7432246
0.0759855	9.02910680652	179	2.9723392
0.1956834	17.2204506602	194	2.6165216
0.0450131	2.13298999882	208	2.8928676
0.0726107	9.85933573425	221	3.0123876
0.1552448	1.03832511217	222	3.1348684
0.134293	1.51957053507	223	3.0901071
0.0456271	2.08838361766	243	2.8616141
0.0959739	10.0294240865	251	3.0950181
0.1256413	9.30712267706	255	2.7457583
0.170749	14.4457671605	258	2.615019
0.0849275	5.9513284276	260	3.4454048
0.0420072	2.13143047386	263	2.8865531
0.1673967	1.39684904541	268	3.0968396
0.052825	2.13914784446	277	2.8855954
0.1131876	9.1045743866	283	3.0460575
0.2255699	22.7714449178	290	2.3372294
0.1295553	14.9389036453	293	2.861761
0.1476044	5.95890370277	298	2.2638534
0.1064824	3.34593523116	302	2.4056663
0.0405951	2.13467566361	311	2.8976307
0.1366814	1.36478847596	316	3.1749912
0.0808854	10.0600831813	320	3.0132351
0.0459248	2.18013197917	321	2.8856106
0.2480495	24.3794076802	323	2.3820133
0.2033926	23.2242692474	326	2.3175924
0.0736879	9.72870542755	339	3.0119766
0.0375643	5.13958908456	363	2.7474645
0.0922604	16.3924713018	375	3.1285296
0.1552254	1.76684640593	379	3.1360348
0.1518626	1.41387674352	383	3.1340837
0.167986	3.49501517669	396	2.7418361
0.2573589	9.20772624514	410	2.7263847
0.0514613	10.1743953524	423	3.0683977
0.156506	0.725911109856	431	3.1297881
0.0778972	20.8684853022	434	1.9442639
0.0740929	10.0417187968	450	3.0162148
0.0491881	2.08318917847	452	2.8469481
0.1558585	1.37209577193	461	3.1142607
0.0501052	2.07515101825	462	2.8737068
0.1586663	1.23225792163	468	3.141887
0.1004371	15.2251531083	472	2.542988
0.1452233	13.3206755472	473	2.6622375
0.0091364	22.0525054019	480	2.6440719
0.0655547	9.16388275662	490	3.1740387
0.1510688	1.26539421254	492	3.1119104
0.2165596	23.5371501576	502	2.3830898
0.0703933	10.7447433805	507	3.153974
0.0592395	9.70939460894	513	3.0144187
0.1549642	1.04794093758	515	3.1209729
0.0873289	10.3955760088	520	3.0064838
0.1564628	1.43070970013	526	3.1231277
0.0727604	10.05475298	529	3.0176069
0.2547557	33.0554819458	531	2.7861733
0.0529396	2.11397192882	534	2.8842045
0.133322	5.61115729124	538	3.1651751
0.1193335	6.06449612471	556	2.4654229
0.1368293	1.4634990737	561	3.1679697
0.0744048	10.247458752	562	3.0190153
0.1777662	2.28025198848	569	2.6576528
0.07936	10.3098408568	573	3.0137646
0.0892454	15.0493665999	575	2.5547259
0.0723176	10.0336192476	579	3.0128212
0.2202527	23.8776611039	587	2.3351186
0.0817636	9.97907474919	590	3.0006317
0.1785977	9.6301051789	606	2.5873505
0.083537	10.6418408236	608	3.0244246
0.0970818	15.0610669304	616	2.5525578
0.0583705	15.8775463055	618	3.1889385
0.1500975	1.45522861009	621	3.1193032
0.1520014	12.8762592259	630	2.6229952
0.0675448	10.210855093	633	3.017173
0.0646743	10.9919864294	635	3.1390651
0.1657462	1.36843925556	637	3.163312
0.071233	9.7575167792	639	3.0161833
0.161543	3.17745329357	650	2.45819
0.0763865	10.2592436188	651	3.0244165
0.0803831	10.4050362707	653	3.0139793
0.1546403	1.34761785041	656	3.1559763
0.0452103	2.12714178835	658	2.854257
0.1029968	15.0927714136	660	2.534527
0.0765519	9.98330416581	661	3.0161715
0.1971399	7.86297256547	668	2.7965068
0.0765456	10.5815836387	669	3.0114226
0.1059089	11.9302516227	676	3.0593332
0.1486724	12.0240762681	682	2.6524078
0.1729353	17.5847574391	686	2.5893623
0.0989371	15.0745124246	695	2.5390715
0.1532989	1.17188352828	710	3.1332035
0.0853502	15.1238871131	714	2.5351947
0.0507626	2.05569218871	720	2.8873089
0.0888455	14.5073264678	727	2.5673891
0.1233362	17.3947767687	729	2.7599778
