Object	Image	Exp_time	RA	DEC	time	filter
272797	1646430p	287	23.4696579306	13.7853114634	56513.4913287	r.MP9601
272797	1646441p	287	23.4734576313	13.7872294075	56513.5347539	r.MP9601
272797	1651337p	287	23.9646349385	14.193177817	56537.4252143	r.MP9601
272797	1651348p	287	23.9624420098	14.192626589	56537.4683539	r.MP9601
272797	1651491p	287	23.9104582667	14.1791043529	56538.4404424	r.MP9601
272797	1651503p	287	23.9078163944	14.1783920835	56538.4870636	r.MP9601
272829	1651189p	287	21.4484511279	11.9067555815	56536.525701	r.MP9601
272829	1651199p	287	21.4451657017	11.9066800544	56536.5645434	r.MP9601
272829	1651359p	287	21.3621662342	11.9038384587	56537.5129678	r.MP9601
272829	1651371p	287	21.3577059654	11.903645731	56537.5625263	r.MP9601
272868	1681689p	387	18.5854160626	10.455063785	56655.3230713	r.MP9601
272868	1681841p	387	18.681775434	10.5056194555	56656.2039153	r.MP9601
272868	1681843p	387	18.6918935555	10.510896311	56656.2935223	r.MP9601
272868	1681844p	387	18.6925654662	10.5112467294	56656.2994728	r.MP9601
272888	1645236p	287	14.4392884804	5.08609814957	56506.5085536	r.MP9601
272888	1645247p	287	14.4440604154	5.08672728528	56506.5512873	r.MP9601
272888	1650811p	287	15.2458831015	4.41447862996	56534.431777	r.MP9601
272888	1651028p	287	15.1841644256	4.34939229795	56535.4359319	r.MP9601
272888	1651039p	287	15.1813670249	4.34653512368	56535.4789688	r.MP9601
272888	1651674p	287	14.8785029039	4.06496089211	56539.4120606	r.MP9601
272888	1651685p	287	14.8746709957	4.06166960978	56539.4548354	r.MP9601
272888	1656887p	287	11.1535306676	1.5596143722	56564.3570445	r.MP9601
272888	1656897p	287	11.1461178701	1.55519043191	56564.3958889	r.MP9601
272888	1656908p	287	11.1377539728	1.55019887751	56564.4397172	r.MP9601
272888	1657315p	287	10.5627805972	1.21006377583	56567.4308098	r.MP9601
272888	1657316p	287	10.561836114	1.20951130394	56567.4356846	r.MP9601
272912	1657929p	287	15.9976522544	4.40524620314	56571.4088962	r.MP9601
272912	1657949p	287	15.9812533881	4.39720754319	56571.4915796	r.MP9601
272912	1657950p	287	15.9803418752	4.39676072311	56571.4961754	r.MP9601
272912	1658286p	287	15.3766373753	4.10324147884	56574.5283305	r.MP9601
272912	1658287p	287	15.3753272304	4.10260874362	56574.5348949	r.MP9601
272912	1671653p	287	9.93025691754	1.69179519009	56623.2884794	r.MP9601
