Object	Image	Exp_time	RA	DEC	time	filter
277000	1645239p	287	15.4641825051	5.74041237819	56506.5201901	r.MP9601
277000	1645250p	287	15.4677440325	5.74069730038	56506.5629284	r.MP9601
277000	1650811p	287	15.6385731132	4.94328548246	56534.431777	r.MP9601
277000	1651028p	287	15.5619737519	4.87760453909	56535.4359319	r.MP9601
277000	1651039p	287	15.5585487291	4.87473541011	56535.4789688	r.MP9601
277000	1651675p	287	15.2035461631	4.59350463078	56539.4159394	r.MP9601
277000	1651686p	287	15.1991972751	4.59023702364	56539.4587153	r.MP9601
277000	1656884p	287	11.3627068075	2.1631168067	56564.3454028	r.MP9601
277000	1656894p	287	11.3553315362	2.15884691279	56564.38422	r.MP9601
277000	1656905p	287	11.3470037123	2.15402554106	56564.4280506	r.MP9601
277000	1657315p	287	10.7716524428	1.82344425301	56567.4308098	r.MP9601
277000	1657316p	287	10.770714053	1.82290803029	56567.4356846	r.MP9601
277070	1752199p	287	19.4742370348	3.5322907141	56956.4399784	r.MP9601
277070	1752369p	287	19.3133303931	3.45305752324	56957.3833097	r.MP9601
277106	1672615p	387	9.81586200186	0.923208033521	56631.3356268	r.MP9601
277106	1672616p	387	9.81594768871	0.92338702383	56631.3424818	r.MP9601
277106	1672745p	387	9.82774873403	0.946355093194	56632.2046896	r.MP9601
277106	1681942p	387	11.8346542987	2.32253875593	56659.2206159	r.MP9601
277134	1645762p	287	14.121537772	3.32380100074	56509.5086909	r.MP9601
277134	1645775p	287	14.124577901	3.32070909337	56509.5619486	r.MP9601
277134	1646271p	287	14.2703059812	3.13928910107	56512.4875917	r.MP9601
277134	1646281p	287	14.2719554429	3.13673405244	56512.5264026	r.MP9601
277282	1778496p	387	215.263976737	-13.093532415	57048.6327179	r.MP9601
277439	1645241p	287	16.9930281924	5.22842525715	56506.5279806	r.MP9601
277439	1645252p	287	16.9970144688	5.23153360362	56506.5706907	r.MP9601
277439	1650822p	287	17.1940295426	6.53115277717	56534.4798507	r.MP9601
277439	1651035p	287	17.1059138234	6.54842832665	56535.4634233	r.MP9601
277439	1651051p	287	17.0997934846	6.54950302899	56535.5289984	r.MP9601
277460	1645237p	287	15.3384882831	3.40047387243	56506.5124324	r.MP9601
277460	1645248p	287	15.3426017981	3.40162541918	56506.5551702	r.MP9601
277460	1650810p	287	15.4810122063	3.15137883945	56534.4279005	r.MP9601
277460	1651027p	287	15.3885951348	3.10594874197	56535.4320508	r.MP9601
277460	1651038p	287	15.3844702713	3.10394011279	56535.4750928	r.MP9601
277483	1645244p	287	17.7430654281	5.21502083275	56506.5396484	r.MP9601
277483	1645255p	287	17.7472626289	5.21653846469	56506.5823318	r.MP9601
277483	1651681p	287	17.5942288244	5.08361990502	56539.4392888	r.MP9601
277483	1651698p	287	17.5859268596	5.08035321708	56539.5141937	r.MP9601
277483	1656880p	287	13.2926871074	3.4707489459	56564.3273184	r.MP9601
277483	1656881p	287	13.2916326985	3.47036626465	56564.3322037	r.MP9601
277483	1656892p	287	13.282080334	3.46689938332	56564.3764618	r.MP9601
277483	1656902p	287	13.2736486159	3.4638392231	56564.4155276	r.MP9601
277483	1657309p	287	12.6225243235	3.22864248393	56567.4059613	r.MP9601
277483	1657360p	287	12.4125826	3.15343660571	56568.361367	r.MP9601
277483	1657386p	287	12.3992450112	3.148653935	56568.4219924	r.MP9601
277483	1657483p	287	12.1588860171	3.06275045052	56569.5145333	r.MP9601
277483	1657485p	287	12.1570284729	3.06208905221	56569.5229766	r.MP9601
