    Object      Image   Exp_time               RA              DEC             time       filter
370953 1645240p 287 16.6649955642 4.37042698756 56506.5241012 r.MP9601
370953 1645251p 287 16.6701559379 4.37290633949 56506.5668078 r.MP9601
370953 1650818p 287 17.2725203956 4.99414332694 56534.4616805 r.MP9601
370953 1650819p 287 17.272135797 4.99407825104 56534.4663659 r.MP9601
370953 1650820p 287 17.2717492936 4.99401285283 56534.4710746 r.MP9601
370953 1650821p 287 17.2713581456 4.99394666875 56534.4758398 r.MP9601
370953 1651034p 287 17.1869772351 4.97900812997 56535.4595122 r.MP9601
370953 1651050p 287 17.1810740775 4.97791495262 56535.5251028 r.MP9601
370953 1651680p 287 16.7732952144 4.89338910077 56539.4354087 r.MP9601
370953 1651697p 287 16.7644036887 4.89139240729 56539.5102847 r.MP9601
370953 1656886p 287 12.0952429179 3.66160360301 56564.353161 r.MP9601
370953 1656896p 287 12.0861951411 3.65912180375 56564.3920065 r.MP9601
370953 1656907p 287 12.0759856913 3.65632135838 56564.4358396 r.MP9601
370953 1657313p 287 11.3764348243 3.46508149458 56567.4229724 r.MP9601
370953 1657652p 287 10.6857222196 3.27753617959 56570.3634638 r.MP9601
370953 1657920p 287 10.4500311499 3.21387144491 56571.3719593 r.MP9601
370953 1657936p 287 10.4350354791 3.20982967792 56571.4363414 r.MP9601
370953 1658018p 287 10.2204936452 3.15222282011 56572.3587347 r.MP9601
