    Object      Image   Exp_time               RA              DEC             time       filter
128882 1692349p 387 244.276315028 -16.9652936156 56716.5930149 r.MP9601
128883 1735262p 287 11.9803704898 2.36060892401 56893.4976696 r.MP9601
128887 1722733p 287 16.4635370839 5.28103707594 56835.5861562 r.MP9601
128887 1722896p 287 16.6953116313 5.4190162947 56836.591194 r.MP9601
128907 1729017p 287 18.2083513129 6.64982990288 56862.5647947 r.MP9601
128907 1729721p 287 18.9620799852 7.08129386381 56865.6073158 r.MP9601
128907 1775272p 387 20.2775743247 12.7908949349 57041.2631838 r.MP9601
128907 1775281p 387 20.2927344188 12.79644022 57041.3091815 r.MP9601
128907 1778897p 287 23.3528615124 13.902802837 57050.2595389 r.MP9601
128933 1686683p 387 218.964214147 -15.7763036661 56689.6327123 r.MP9601
128933 1686792p 387 219.331864476 -15.8673734916 56690.6305048 r.MP9601
128937 1615941p 287 215.732349374 -11.8378796115 56386.5547352 r.MP9601
128937 1616320p 287 215.278394193 -11.6951142286 56389.4031826 r.MP9601
128937 1616331p 287 215.271218951 -11.6928681714 56389.4468896 r.MP9601
128937 1616507p 287 215.107829241 -11.6417003843 56390.4355246 r.MP9601
128937 1616518p 287 215.100291544 -11.6393385726 56390.4807507 r.MP9601
128937 1616685p 287 214.948952155 -11.5920558167 56391.3821003 r.MP9601
128937 1616696p 287 214.941620636 -11.589774099 56391.4253329 r.MP9601
128937 1616707p 287 214.934303155 -11.5874967503 56391.4684826 r.MP9601
128941 1722736p 287 17.473478564 5.17409430956 56835.5978274 r.MP9601
128941 1722899p 287 17.7131792797 5.25829389932 56836.6028601 r.MP9601
128941 1751789p 287 17.635756436 3.6483545117 56953.3640456 r.MP9601
128962 1671722p 387 21.7841694673 12.0490823661 56624.2307323 r.MP9601
128962 1672405p 287 21.4286189227 11.8928596672 56630.3743212 r.MP9601
128962 1681666p 287 22.4117423823 12.1332916344 56655.2469916 r.MP9601
128962 1681667p 287 22.4122914409 12.1334706168 56655.2518362 r.MP9601
128962 1681850p 287 22.5372355301 12.1743542918 56656.3381238 r.MP9601
128962 1681851p 287 22.5377909858 12.1745374947 56656.3428013 r.MP9601
128962 1681945p 287 22.9001152691 12.2943439786 56659.2337784 r.MP9601
128962 1681957p 287 22.906434268 12.2964503116 56659.2808765 r.MP9601
128962 1681973p 387 22.9173477848 12.3000881505 56659.3622195 r.MP9601
128962 1682234p 387 23.0365564794 12.3398915273 56660.2417232 r.MP9601
128977 1735067p 287 23.1634208852 11.5400281239 56892.5525311 r.MP9601
128977 1735079p 287 23.1634990377 11.5405491404 56892.5994226 r.MP9601
128977 1736157p 287 23.125361541 11.5649080866 56896.444852 r.MP9601
